numero_uai,adresse_uai,localite_acheminement_uai,code_postal_uai,x_L93_ref,y_L93_ref,y_WGS84_ref,x_WGS84_ref,label,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
0320342Y,PAVILLON RUE 3 RUE JEAN DUCASSE,GONDRIN,32330,477957.0,6313091.6,43.88186177235508,0.2367601038202687,PAVILLON,43.882493,0.236683,Rue Jean Ducasse 32330 Gondrin,0.63,street,32149_0014,,Rue Jean Ducasse,,32330,Gondrin,"32, Gers, Occitanie",32149,,,
0682119J,PAVILLON 21 RUE HENRI MATISSE,MULHOUSE,68100,1021730.2,6746069.7,47.7362565514104,7.294673572387334,PAVILLON,47.735517,7.295596,21 Rue Henri Matisse 68200 Mulhouse,0.71,housenumber,68224_3325_00021,21,Rue Henri Matisse,,68200,Mulhouse,"68, Haut-Rhin, Grand Est",68224,,,
0241016Z,PAVILLON 10 RUE DES ECOLES,MARSAC SUR L ISLE,24430,514207.5,6456851.4,45.18592024132129,0.6340039094453253,PAVILLON,45.186304,0.634279,Rue des Ecoles 24430 Marsac-sur-l'Isle,0.73,street,24256_0170,,Rue des Ecoles,,24430,Marsac-sur-l'Isle,"24, Dordogne, Nouvelle-Aquitaine",24256,,,
0851620Z,PAVILLON ROUTE DES CLOUZEAUX,AUBIGNY LES CLOUZEAUX,85430,358751.1,6620671.4,46.59932823095989,-1.4602246849089244,PAVILLON,46.599328,-1.460225,Route des clouzeaux 85430 Aubigny-Les Clouzeaux,0.8,street,85008_0020,,Route des clouzeaux,,85430,Aubigny-Les Clouzeaux,"85, Vendée, Pays de la Loire",85008,85008,Aubigny,
0240474K,PAVILLON RUE DE LA BOÉTIE,LE BUGUE,24260,536246.5,6426604.7,44.919270148732174,0.9246447833765558,PAVILLON,44.920278,0.925618,Rue de La Boétie 24260 Le Bugue,0.74,street,24067_0020,,Rue de La Boétie,,24260,Le Bugue,"24, Dordogne, Nouvelle-Aquitaine",24067,,,
0132352L,PAVILLON RUE ANDRÉ AUDOLI,MARSEILLE,13010,897538.8,6244426.7,43.27163742819383,5.432189519414437,PAVILLON,43.27185,5.430025,Rue andre audoli 13010 Marseille,0.76,street,13210_0380,,Rue andre audoli,,13010,Marseille,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",13210,,,Marseille 10e Arrondissement
0620195A,PAVILLON 44 ROUTE DÉPARTEMENTALE 943,NORRENT FONTES,62120,657996.9,7054406.5,50.5853491351186,2.407876354791568,PAVILLON,50.585388,2.407988,44 Route Departementale 943 62120 Norrent-Fontes,0.81,housenumber,62620_8pqc1w_00044,44,Route Departementale 943,,62120,Norrent-Fontes,"62, Pas-de-Calais, Hauts-de-France",62620,,,
0952155B,PAVILLON 27 RUE SAINT DENIS,MONTREUIL SUR EPTE,95770,603560.9,6898158.3,49.175904632261016,1.6774783524675556,PAVILLON,49.175841,1.677454,27 Rue Saint Denis 95770 Montreuil-sur-Epte,0.79,housenumber,95429_0220_00027,27,Rue Saint Denis,,95770,Montreuil-sur-Epte,"95, Val-d'Oise, Île-de-France",95429,,,
0511014A,PAVILLON 2 RUE DES ECOLES,TROISSY,51700,751710.0,6887143.2,49.08204659442128,3.707820382021469,PAVILLON,49.081825,3.708215,2 Rue des Ecoles 51700 Troissy,0.73,housenumber,51585_0111_00002,2,Rue des Ecoles,,51700,Troissy,"51, Marne, Grand Est",51585,,,
0711467J,PAVILLON 73 ROUTE DES SABLES,DIGOIN,71160,778205.5,6600064.2,46.49603104838574,4.01971879499451,PAVILLON,46.496031,4.019719,73 Route des Sables 71160 Digoin,0.76,housenumber,71176_1115_00073,73,Route des Sables,,71160,Digoin,"71, Saône-et-Loire, Bourgogne-Franche-Comté",71176,,,
0900461M,PAVILLON RUE D'ALEMBERT,BAVILLIERS,90800,988184.4,6732255.4,47.62762495789006,6.838671808064349,PAVILLON,47.627625,6.838672,Rue d'Alembert 90800 Bavilliers,0.74,street,90008_0021,,Rue d'Alembert,,90800,Bavilliers,"90, Territoire de Belfort, Bourgogne-Franche-Comté",90008,,,
0131074X,PAVILLON 24 BOULEVARD DES ECOLES,LE PUY STE REPARADE,13610,896529.6,6288107.0,43.664712700621685,5.436360415236015,PAVILLON,43.664817,5.435734,24 Boulevard des Ecoles 13610 Le Puy-Sainte-Réparade,0.75,housenumber,13080_2050_00024,24,Boulevard des Ecoles,,13610,Le Puy-Sainte-Réparade,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",13080,,,
0890778M,PAVILLON 23  GRANDE RUE,CHARENTENAY,89580,740830.2,6727853.2,47.64979835636565,3.543882170858923,PAVILLON,47.651031,3.545824,Grande Rue 89580 Charentenay,0.67,street,89084_0100,,Grande Rue,,89580,Charentenay,"89, Yonne, Bourgogne-Franche-Comté",89084,,,
0870911T,PAVILLON 3 RUE LAMARTINE,ST LAURENT SUR GORRE,87310,541011.1,6520964.1,45.7697476058398,0.9540233876638392,PAVILLON,45.76933,0.953373,3 Rue Lamartine 87310 Saint-Laurent-sur-Gorre,0.71,housenumber,87158_0135_00003,3,Rue Lamartine,,87310,Saint-Laurent-sur-Gorre,"87, Haute-Vienne, Nouvelle-Aquitaine",87158,,,
0330058J,PAVILLON 43 RUE FORT BAYARD,BRANNE,33420,448373.9,6418990.1,44.82440507553535,-0.1841351276871816,PAVILLON,44.824405,-0.184135,43 Rue du Fort Bayard 33420 Branne,0.7,housenumber,33071_0020_00043,43,Rue du Fort Bayard,,33420,Branne,"33, Gironde, Nouvelle-Aquitaine",33071,,,
0840005Z,PAVILLON 138  AVENUE DE TARASCON,AVIGNON CEDEX 2,84082,845280.4,6315876.7,43.92691483931859,4.809175112989619,PAVILLON,43.926915,4.809175,138 Avenue de Tarascon 84000 Avignon,0.6,housenumber,84007_6400_00138,138,Avenue de Tarascon,,84000,Avignon,"84, Vaucluse, Provence-Alpes-Côte d'Azur",84007,,,
0911312G,PAVILLON RUE DESCARTES,EVRY COURCOURONNES,91000,658534.7,6837357.5,48.63507089252188,2.4372630242919167,PAVILLON,48.635071,2.437263,Rue Descartes 91000 Évry-Courcouronnes,0.79,street,91228_0385,,Rue Descartes,,91000,Évry-Courcouronnes,"91, Essonne, Île-de-France",91228,91228,Évry,
0451210W,PAVILLON 11 RUE DES LORIOTS,GIEN,45500,671648.6,6733327.7,47.69972811877413,2.621990558862867,PAVILLON,47.700588,2.62094,11 Rue des Loriots 45500 Gien,0.74,housenumber,45155_0958_00011,11,Rue des Loriots,,45500,Gien,"45, Loiret, Centre-Val de Loire",45155,,,
0060615L,PAVILLON QUARTIER DES VIGNES,VILLARS SUR VAR,6710,1028692.0,6323969.7,43.937997841954406,7.095470433714815,PAVILLON,14.623576,-61.029792,Quartier Morne Pavillon 97232 Le Lamentin,0.33,street,97213_iwatsc,,Quartier Morne Pavillon,,97232,Le Lamentin,"972, Martinique",97213,,,
0490662D,PAVILLON PLACE DE LA MAIRIE,ROCHEFORT SUR LOIRE,49190,423971.5,6701653.2,47.357658142818224,-0.6581200547291467,PAVILLON,45.784331,5.765346,Place de la Mairie 01350 Cressin-Rochefort,0.48,street,01133_0180,,Place de la Mairie,,01350,Cressin-Rochefort,"01, Ain, Auvergne-Rhône-Alpes",01133,,,
0352196X,PAVILLON 22 AVENUE DU PORT,GUIPRY MESSAC,35480,338049.5,6758189.7,47.82423090758469,-1.8401993224319253,PAVILLON,47.824255,-1.839793,22 Avenue du Port 35480 Guipry-Messac,0.78,housenumber,35176_thctkr_00022,22,Avenue du Port,,35480,Guipry-Messac,"35, Ille-et-Vilaine, Bretagne",35176,35129,Guipry,
