IRIS;DISP_TP6020;DISP_Q120;DISP_MED20;DISP_Q320;DISP_EQ20;DISP_D120;DISP_D220;DISP_D320;DISP_D420;DISP_D620;DISP_D720;DISP_D820;DISP_D920;DISP_RD20;DISP_S80S2020;DISP_GI20;DISP_PACT20;DISP_PTSA20;DISP_PCHO20;DISP_PBEN20;DISP_PPEN20;DISP_PPAT20;DISP_PPSOC20;DISP_PPFAM20;DISP_PPMINI20;DISP_PPLOGT20;DISP_PIMPOT20;DISP_NOTE20
010040101;20,3;14280;19450;25490;0,58;11000;13350;15320;17530;21650;23750;27150;31190;2,8;3,3;0,233;67,7;61,1;3,7;2,9;27,9;6,4;10,3;3,5;4,7;2,1;-12,3;0
010040102;25,6;13280;17910;23920;0,59;10120;12460;14200;15830;19800;22490;25740;30300;3,0;3,4;0,245;68,3;61,6;4,4;2,3;24,8;6,0;12,7;3,9;5,9;2,9;-11,8;0
010040201;18,4;14890;20210;26620;0,58;11240;13860;15990;18190;22640;25280;28280;33550;3,0;3,5;0,246;70,7;63,5;3,8;3,4;28,0;6,5;8,7;3,0;3,7;2,0;-13,9;0
010040202;8,4;19060;24870;32100;0,52;14380;17560;20110;22590;27410;30140;34470;41220;2,9;3,6;0,253;76,5;69,9;2,8;3,8;25,0;10,8;4,7;2,0;1,9;0,8;-17,0;0
010330102;22,9;14000;19810;29190;0,77;9380;12670;15070;17560;22960;26590;32000;40030;4,3;5,5;0,323;76,4;69,8;4,9;1,7;24,1;6,5;6,0;1,5;3,0;1,5;-13,0;0
010330103;14,9;16360;23770;34300;0,75;11540;15010;17950;20670;27580;32000;38430;48180;4,2;5,3;0,320;81,5;75,0;4,3;2,2;21,0;6,5;4,6;1,7;1,9;1,0;-13,6;0
010330201;13,4;17230;24920;35450;0,73;12060;15670;18710;21890;28470;32170;38270;50090;4,2;5,2;0,319;77,7;72,1;3,4;2,2;27,3;5,8;3,9;1,5;1,6;0,8;-14,7;0
010330202;22,7;13850;19230;26800;0,67;9850;12870;14820;17240;21660;24740;29080;38130;3,9;4,3;0,286;69,3;63,2;4,8;1,3;29,8;4,0;9,0;2,8;4,3;1,9;-12,1;0
010330301;20,6;14600;21560;28820;0,66;10780;13310;15790;18670;24350;27090;31860;40460;3,8;4,5;0,292;82,1;77,2;4,2;0,7;18,8;4,0;6,6;3,2;2,1;1,3;-11,5;0
010330401;6,7;20710;28500;38870;0,64;15080;19040;21990;25210;31280;36320;42370;53910;3,6;4,5;0,298;83,9;77,6;3,3;3,0;19,0;9,0;2,7;1,3;0,9;0,5;-14,6;0
010340101;9,4;18000;22530;28740;0,48;13740;16610;19000;21030;24130;26730;30200;36440;2,7;3,3;0,236;68,2;60,0;3,0;5,2;32,6;9,6;5,3;1,8;2,5;1,0;-15,7;1
010340102;17,0;14940;20120;26680;0,58;11390;13940;16030;18290;22480;25010;28850;36070;3,2;3,7;0,257;61,2;54,3;3,3;3,6;36,0;7,6;8,7;2,4;4,4;1,9;-13,5;1
010340103;28,5;12710;17750;24000;0,64;9960;11980;13720;15780;19870;22390;25990;33390;3,4;4,3;0,290;60,7;54,3;4,3;2,1;32,4;8,3;11,2;4,6;4,5;2,1;-12,6;1
010530101;21,9;14180;20090;28730;0,72;10420;13130;15250;17350;22790;26500;31380;38980;3,7;5,2;0,327;71,4;62,8;4,0;4,6;23,8;12,3;8,7;1,6;4,7;2,4;-16,2;0
010530102;16,5;15530;20710;28000;0,60;11170;14390;16560;18850;23250;26270;30380;36970;3,3;4,2;0,279;55,7;50,6;3,1;2,0;41,1;11,0;6,9;1,3;3,7;1,9;-14,7;0
010530103;17,8;15970;22670;31150;0,67;11510;13970;17490;20220;25670;29130;33590;42860;3,7;5,4;0,331;62,8;54,0;3,5;5,3;33,9;15,5;6,1;1,3;3,1;1,7;-18,3;0
010530201;18,6;14970;20050;27120;0,61;11130;14090;16180;18150;22410;25210;29100;35930;3,2;4,2;0,283;65,5;59,1;3,4;3,0;34,2;7,6;7,9;2,1;3,9;1,9;-15,2;0
010530202;30,2;12740;16470;23680;0,66;9510;11960;13410;15200;19090;21820;25570;31520;3,3;4,1;0,277;67,0;58,0;5,2;3,8;25,2;5,1;14,3;4,1;7,0;3,2;-11,6;0
010530203;16,2;15480;20850;27400;0,57;11680;14150;16710;18800;23200;25880;29140;35860;3,1;3,6;0,251;69,6;64,2;3,3;2,1;30,2;6,5;8,1;2,4;4,0;1,7;-14,4;0
010530301;11,6;16980;23070;30570;0,59;12770;15970;18420;21070;26250;28930;33980;43220;3,4;4,2;0,284;71,7;65,5;3,0;3,2;31,5;9,4;5,7;1,2;3,2;1,3;-18,3;0
010530302;19,9;14280;20070;26700;0,62;10700;13460;15590;17890;22170;25120;28810;35920;3,4;4,3;0,287;66,3;59,7;3,4;3,2;32,3;7,9;8,9;2,3;4,5;2,1;-15,4;0
010530401;19,8;14930;19950;27250;0,62;10810;13570;16450;17860;22130;25120;28920;35240;3,3;3,7;0,254;65,1;57,1;3,4;4,6;34,2;6,2;8,1;3,4;3,2;1,5;-13,6;0
010530402;9,5;18190;23500;29750;0,49;13680;16790;19290;21310;25870;28270;31570;36510;2,7;3,2;0,227;65,9;60,6;3,1;2,2;37,2;6,3;5,4;2,0;2,3;1,1;-14,8;0
010530501;s;17250;24240;31030;0,57;12600;15850;18920;21390;26590;29260;33050;40870;3,2;4,0;0,273;55,1;50,4;2,0;2,7;46,7;10,3;4,4;1,4;2,1;0,9;-16,5;0
010530502;17,1;14930;20970;28490;0,65;11710;13980;16280;18830;23710;26780;30620;38680;3,3;4,2;0,288;62,8;55,7;2,8;4,3;36,6;10,0;6,9;2,6;3,0;1,3;-16,3;0
010530503;38,8;11500;15010;19280;0,52;9000;10680;12130;13590;16320;18220;20560;24550;2,7;3,5;0,252;58,3;51,5;6,1;0,7;24,7;4,6;21,7;5,9;10,8;5,0;-9,3;0
010530601;33,9;12080;15790;21460;0,59;9320;11100;12760;14370;17740;20420;23920;28580;3,1;3,6;0,250;51,1;44,9;4,9;1,3;37,2;5,3;16,3;4,6;7,9;3,8;-9,9;0
010530602;40,8;11630;14830;19480;0,53;8970;10950;12110;13320;16480;18150;20910;25340;2,8;3,3;0,237;50,7;43,8;5,6;1,3;36,5;4,9;17,0;5,6;7,7;3,7;-9,1;0
